neighborhood_municipality	individuals_tested	infections	reinfections	deaths	hospitalizations	tests	postives	ag_tests	positive_ag_tests	pcr_tests	positive_pcr_tests	update_date
Aleppo	1102	1557	34	15	19	4684	323	2374	96	2312	227	2022-04-04
Allegheny Center (Pittsburgh)	1011	1181	80	5	14	2898	374	379	47	2520	327	2022-04-04
Allegheny West (Pittsburgh)	349	392	61	0	5	1217	109	240	17	977	92	2022-04-04
Allentown (Pittsburgh)	1489	2294	176	2	33	5212	617	1275	83	3934	534	2022-04-04
Arlington (Pittsburgh)	1075	1736	216	9	29	4382	519	1050	105	3329	413	2022-04-04
Arlington Heights (Pittsburgh)	148	149	11	3	3	551	42	90	10	461	32	2022-04-04
Aspinwall	2098	1965	66	1	11	6905	593	1610	146	5286	446	2022-04-04
Avalon	2997	4531	313	12	57	11200	1141	2503	240	8700	900	2022-04-04
Baldwin Borough	14391	23656	1482	72	294	50665	6448	13276	1623	37394	4812	2022-04-04
Baldwin Township	1353	1886	98	1	13	4191	607	1101	186	3092	418	2022-04-04
Banksville (Pittsburgh)	3021	3831	267	17	32	10703	1158	3758	316	6948	840	2022-04-04
Bedford Dwellings (Pittsburgh)	780	1070	122	6	37	2400	334	399	30	2002	304	2022-04-04
Beechview (Pittsburgh)	5004	6795	420	16	81	16355	2060	3494	460	12858	1596	2022-04-04
Bell Acres	973	800	16	5	9	2503	303	609	62	1893	240	2022-04-04
Bellevue	5160	6935	560	10	62	16762	1925	4016	410	12713	1513	2022-04-04
Beltzhoover (Pittsburgh)	991	1345	175	5	43	3077	430	454	45	2623	385	2022-04-04
Ben Avon	1352	1207	52	4	9	3788	417	915	93	2862	323	2022-04-04
Ben Avon Heights	299	218	12	0	0	912	88	210	15	699	73	2022-04-04
Bethel Park	22819	32045	2019	95	270	77204	8762	20420	2392	56687	6324	2022-04-04
Blawnox	859	962	52	4	14	2859	282	626	75	2226	205	2022-04-04
Bloomfield (Pittsburgh)	6600	7197	464	10	59	25111	1929	3619	332	21492	1595	2022-04-04
Bluff (Pittsburgh)	12994	16123	988	4	48	49249	2844	33178	1200	16064	1638	2022-04-04
Bon Air (Pittsburgh)	501	547	27	2	12	1542	218	309	48	1234	170	2022-04-04
Brackenridge	2470	4510	261	25	67	9722	970	1847	194	7876	775	2022-04-04
Braddock	1383	1888	115	1	41	4899	570	1015	65	3887	505	2022-04-04
Braddock Hills	1045	1378	131	3	21	3699	420	708	73	2995	347	2022-04-04
Bradford Woods	820	713	34	0	3	2155	274	465	56	1676	218	2022-04-04
Brentwood	6669	9647	615	19	78	22125	2792	5731	674	16389	2112	2022-04-04
Bridgeville	3445	5304	275	16	52	11462	1574	3435	446	8006	1117	2022-04-04
Brighton Heights (Pittsburgh)	5081	6882	575	12	91	17282	1951	3517	324	13753	1627	2022-04-04
Brookline (Pittsburgh)	8754	11501	782	21	122	28825	3449	7417	872	21379	2569	2022-04-04
California-Kirkbride (Pittsburgh)	451	755	23	3	4	1695	184	287	21	1408	163	2022-04-04
Carnegie	5467	6985	544	11	62	17397	2165	4794	560	12601	1600	2022-04-04
Carrick (Pittsburgh)	6309	8106	596	28	131	20251	2574	4592	561	15652	2010	2022-04-04
Castle Shannon	5387	7418	434	11	50	18174	2180	4870	611	13299	1564	2022-04-04
Central Business District (Pittsburgh)	5627	5007	191	0	23	18085	1254	3530	242	14548	1006	2022-04-04
Central Lawrenceville (Pittsburgh)	3648	4643	294	20	40	14638	998	2413	171	12210	823	2022-04-04
Central Northside (Pittsburgh)	2312	2782	200	4	35	8205	769	1333	108	6871	660	2022-04-04
Central Oakland (Pittsburgh)	3357	4831	140	1	6	15110	1042	1731	145	13384	894	2022-04-04
Chalfant	531	567	13	1	7	1714	174	413	41	1303	133	2022-04-04
Chartiers City (Pittsburgh)	324	387	36	1	8	1039	149	217	24	821	125	2022-04-04
Chateau (Pittsburgh)	250	85	0	0	0	373	38	53	4	320	34	2022-04-04
Cheswick	1039	1370	91	2	26	3640	390	1359	77	2280	313	2022-04-04
Churchill	2168	2025	82	5	24	6535	638	1482	165	5050	471	2022-04-04
Clairton	4243	6550	580	16	104	14864	1824	3374	307	11498	1517	2022-04-04
Collier	6262	7758	527	10	46	19030	2390	5431	679	13553	1694	2022-04-04
Coraopolis	3505	5523	576	12	45	11926	1470	4045	362	7880	1104	2022-04-04
Crafton	3884	5301	240	15	52	12907	1696	3282	414	9616	1279	2022-04-04
Crafton Heights (Pittsburgh)	2597	3080	167	5	33	7672	1001	1717	184	5951	817	2022-04-04
Crawford-Roberts (Pittsburgh)	1852	2210	256	12	73	6091	646	1212	62	4880	584	2022-04-04
Crescent	1479	1860	125	10	20	4221	632	1177	227	3049	404	2022-04-04
Dormont	5695	6874	400	5	48	18243	2003	4858	476	13379	1523	2022-04-04
Dravosburg	990	1735	61	5	20	3781	426	866	101	2918	325	2022-04-04
Duquesne	3269	5375	424	24	109	11371	1496	2137	195	9239	1301	2022-04-04
Duquesne Heights (Pittsburgh)	1767	2662	150	5	18	6509	746	1732	195	4768	547	2022-04-04
East Allegheny (Pittsburgh)	1366	1794	148	5	29	4453	494	718	64	3735	430	2022-04-04
East Carnegie (Pittsburgh)	339	611	46	2	12	1219	165	263	31	948	132	2022-04-04
East Deer	901	1582	99	1	19	3435	363	987	85	2444	278	2022-04-04
East Hills (Pittsburgh)	1769	2288	134	7	55	5494	695	923	90	4577	605	2022-04-04
East Liberty (Pittsburgh)	4832	6035	522	34	113	17435	1589	2823	198	14599	1389	2022-04-04
East Mckeesport	1304	1868	102	5	31	3902	579	853	122	3046	455	2022-04-04
East Pittsburgh	1188	1906	267	6	42	4327	488	846	63	3485	425	2022-04-04
Edgewood	2490	2356	92	0	9	8765	613	1394	95	7368	514	2022-04-04
Edgeworth	1293	1331	229	1	1	4100	287	1045	74	3044	211	2022-04-04
Elizabeth Borough	947	1361	113	5	22	3207	449	820	105	2386	344	2022-04-04
Elizabeth Township	8421	11941	786	36	180	26693	3916	7088	963	19578	2945	2022-04-04
Elliott (Pittsburgh)	1460	2151	139	6	29	4744	627	1157	120	3584	507	2022-04-04
Emsworth	2382	2554	144	0	18	6558	798	1672	131	4878	663	2022-04-04
Esplen (Pittsburgh)	145	250	42	0	7	710	74	124	7	587	67	2022-04-04
Etna	2237	3017	195	4	30	7129	852	1890	198	5232	653	2022-04-04
Fairywood (Pittsburgh)	1458	4215	474	1	18	8089	503	798	65	7290	437	2022-04-04
Fawn	1249	1573	90	3	27	3676	493	1066	114	2611	379	2022-04-04
Findlay	3688	4345	297	8	46	10317	1438	3330	452	6972	979	2022-04-04
Fineview (Pittsburgh)	669	824	64	3	16	2059	238	350	40	1702	198	2022-04-04
Forest Hills	4342	4714	282	8	45	13888	1442	2773	290	11123	1151	2022-04-04
Forward	1857	2790	109	11	34	5781	816	1628	239	4150	577	2022-04-04
Fox Chapel	4542	3221	198	3	20	12804	988	2954	244	9822	740	2022-04-04
Franklin Park	10938	9841	433	23	65	30674	3209	7785	692	22820	2508	2022-04-04
Frazer	690	1120	123	2	13	2296	307	645	85	1650	220	2022-04-04
Friendship (Pittsburgh)	1711	1495	35	0	5	6249	402	683	50	5561	350	2022-04-04
Garfield (Pittsburgh)	2559	3980	250	19	62	10110	947	1847	129	8266	817	2022-04-04
Glassport	2872	4575	286	13	79	9843	1291	2319	248	7529	1040	2022-04-04
Glen Hazel (Pittsburgh)	904	4886	420	25	50	10402	388	5546	33	4859	354	2022-04-04
Glen Osborne	389	630	65	0	1	1331	101	318	29	1014	72	2022-04-04
Glenfield	122	132	11	0	3	357	50	88	10	268	40	2022-04-04
Green Tree	3791	4694	262	6	49	11369	1469	3252	418	8103	1045	2022-04-04
Greenfield (Pittsburgh)	5399	6302	348	8	67	19327	1770	2801	170	16524	1600	2022-04-04
Hampton	12268	12311	592	28	104	35831	4105	10647	1228	25057	2847	2022-04-04
Harmar	2203	6329	698	30	58	11609	822	4460	200	7133	619	2022-04-04
Harrison	6122	7957	439	19	126	19135	2596	4954	603	14184	1992	2022-04-04
Hays (Pittsburgh)	212	234	8	1	2	545	70	98	9	447	61	2022-04-04
Haysville	41	82	32	0	0	263	14	34	2	229	12	2022-04-04
Hazelwood (Pittsburgh)	2598	3764	431	9	65	9082	1010	1921	120	7160	889	2022-04-04
Heidelberg	812	1165	130	3	11	2573	328	670	96	1910	232	2022-04-04
Highland Park (Pittsburgh)	5356	5284	391	10	45	27301	1317	4017	209	23284	1108	2022-04-04
Homestead	1883	3105	430	9	62	7282	774	1548	92	5732	681	2022-04-04
Homewood North (Pittsburgh)	1584	2218	173	7	65	5566	618	1121	73	4443	545	2022-04-04
Homewood South (Pittsburgh)	1508	2568	120	8	70	5673	572	1192	71	4482	501	2022-04-04
Homewood West (Pittsburgh)	385	572	42	0	11	1478	144	293	26	1186	118	2022-04-04
Indiana	4936	8913	880	21	68	19526	1696	6917	463	12596	1225	2022-04-04
Ingram	2102	2812	182	6	29	6752	859	1656	164	5100	695	2022-04-04
Jefferson Hills	8830	14596	1301	52	151	33386	3890	7613	1055	25755	2821	2022-04-04
Kennedy	6352	10843	505	40	82	26831	2382	9921	682	16942	1693	2022-04-04
Kilbuck	518	486	22	0	3	1387	173	425	37	953	136	2022-04-04
Knoxville (Pittsburgh)	2103	2989	307	4	47	7009	870	1598	120	5416	750	2022-04-04
Larimer (Pittsburgh)	1502	2404	222	12	54	5701	498	757	39	4946	459	2022-04-04
Leet	1030	1032	67	2	9	2749	333	841	101	1895	230	2022-04-04
Leetsdale	683	928	34	2	7	2297	218	573	58	1727	159	2022-04-04
Liberty	1558	2687	182	6	30	5209	793	1285	148	3918	645	2022-04-04
Lincoln	561	724	35	2	18	1645	299	393	67	1253	232	2022-04-04
Lincoln Place (Pittsburgh)	1998	2572	244	7	37	6593	858	1632	199	4951	655	2022-04-04
Lincoln-Lemington-Belmar (Pittsburgh)	2535	5762	569	12	75	11204	992	2129	167	9082	825	2022-04-04
Lower Lawrenceville (Pittsburgh)	1974	2331	66	2	22	6944	612	1240	109	5698	501	2022-04-04
Manchester (Pittsburgh)	1469	1698	98	7	49	4709	580	883	64	3823	516	2022-04-04
Marshall	6481	5289	179	6	36	18491	1847	4137	413	14319	1429	2022-04-04
Marshall-Shadeland (Pittsburgh)	2495	3464	301	4	55	8328	1020	1770	146	6542	871	2022-04-04
McCandless	20489	24415	1045	130	221	68204	6441	20992	1577	47004	4832	2022-04-04
Mcdonald	183	302	0	0	3	621	71	214	14	407	57	2022-04-04
Mckees rocks	3684	5162	395	19	87	12253	1470	2488	227	9775	1242	2022-04-04
McKeesport	12929	27119	2562	106	439	59306	5915	17916	830	41401	5083	2022-04-04
Middle Hill (Pittsburgh)	979	1171	42	6	37	2926	363	510	55	2416	308	2022-04-04
Millvale	2226	2625	145	4	17	7609	846	1816	168	5791	676	2022-04-04
Monroeville	20732	34812	2777	131	456	78818	7937	21566	2039	57242	5889	2022-04-04
Moon	19286	31610	2443	55	185	70313	7208	27865	2321	42396	4863	2022-04-04
Morningside (Pittsburgh)	2301	2495	164	6	37	7907	786	1519	152	6379	631	2022-04-04
Mount Lebanon	26301	34005	2692	89	195	95605	8110	21759	2148	73714	5912	2022-04-04
Mount Oliver Borough	2023	2968	153	6	39	7015	841	1597	142	5418	698	2022-04-04
Mount Washington (Pittsburgh)	5982	8216	616	9	58	20249	2439	4716	529	15507	1905	2022-04-04
Mt. Oliver (Pittsburgh)	249	257	31	0	9	708	105	170	18	540	87	2022-04-04
Munhall	7013	10029	549	33	171	23827	2906	4674	515	19159	2390	2022-04-04
Neville	656	652	56	3	11	1916	205	498	47	1417	158	2022-04-04
New Homestead (Pittsburgh)	619	726	94	1	8	1905	259	415	59	1487	199	2022-04-04
